Draw Number,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Ball 7,Ball 8,Ball 9,Ball 10,Ball 11,Ball 12,Ball 13,Ball 14,Ball 15,Ball 16,Ball 17,Ball 18,Ball 19,Ball 20,Bonus,Heads or Tails
226,12,6,23,13,3,46,67,72,59,42,30,22,14,38,1,48,58,69,18,47,x5,heads
227,51,62,78,37,47,39,74,48,69,36,60,7,2,38,21,26,30,33,71,34,x3,heads
228,19,17,44,51,52,20,4,7,68,74,61,48,40,50,58,80,18,29,11,65,x3,tails
229,8,44,7,11,65,57,18,72,5,46,42,55,49,63,27,23,80,28,29,79,reg,tails
230,11,47,21,4,52,40,30,34,36,61,28,38,71,24,76,79,45,55,59,51,x4,evens
231,51,23,74,58,61,33,78,14,10,72,46,70,77,11,69,80,62,38,43,66,reg,tails
232,53,24,17,14,23,41,2,20,31,9,47,40,64,6,38,22,63,32,65,48,x2,heads
233,6,42,76,51,28,50,4,44,63,62,61,41,64,16,54,30,78,37,14,74,reg,tails
234,35,8,38,15,61,25,19,24,70,45,67,40,51,80,78,16,77,62,28,56,reg,evens
235,71,68,59,24,3,33,77,69,22,32,75,58,7,14,44,8,11,35,63,34,reg,heads
236,3,24,30,48,35,71,62,43,28,4,1,10,55,40,45,8,22,66,38,12,reg,heads
237,51,27,64,30,17,43,41,73,59,20,71,5,47,69,54,35,15,63,24,80,reg,tails
238,74,35,58,46,24,43,50,22,30,73,15,28,79,18,14,56,5,59,29,69,reg,evens
239,33,54,40,52,42,58,8,57,66,70,77,71,51,59,20,34,41,47,3,72,x3,tails
240,5,63,65,75,34,40,32,73,18,10,76,35,12,31,58,4,45,26,52,48,reg,heads
241,30,4,7,59,65,11,5,57,49,33,18,68,70,6,25,64,56,40,36,63,x2,heads
242,13,38,35,1,31,27,24,5,45,58,78,70,25,20,16,47,42,8,67,37,x2,heads
243,74,43,75,28,53,59,15,71,56,32,24,31,76,70,6,11,1,80,9,27,x3,evens
244,60,59,30,45,12,2,13,34,50,78,54,18,43,80,62,1,33,23,6,8,reg,heads
245,10,55,43,78,30,40,5,16,22,23,74,47,50,75,4,53,77,57,25,71,reg,tails
246,62,80,57,58,76,77,19,21,37,7,40,9,42,31,15,66,43,34,22,30,x3,heads
247,12,30,34,24,78,15,77,67,26,51,28,75,45,10,44,57,73,38,29,6,x2,heads
248,27,45,65,48,73,56,21,24,4,34,72,54,61,49,47,5,59,10,62,1,x2,tails
249,45,14,38,5,7,42,31,9,72,32,57,41,27,62,29,59,48,77,3,70,reg,evens
250,74,56,55,30,68,21,6,31,59,22,71,27,40,48,24,61,43,23,4,35,x2,heads
251,58,5,63,80,70,2,32,61,57,26,65,45,3,56,73,79,78,59,23,29,reg,tails
252,55,38,2,75,9,14,8,5,4,46,36,30,19,31,69,40,35,60,76,51,x2,heads
253,30,80,12,1,43,6,15,7,51,62,20,13,8,39,72,69,79,61,31,47,reg,heads
254,23,13,75,50,29,48,18,72,28,12,14,70,60,2,6,16,31,22,68,64,reg,heads
255,5,16,69,13,61,39,51,1,56,66,48,73,59,53,71,7,65,70,80,27,x2,tails
256,8,64,61,13,27,6,41,65,28,38,42,45,46,18,20,55,36,57,39,77,reg,evens
257,53,24,43,9,27,57,62,72,28,50,52,36,47,54,39,14,71,25,30,74,x3,tails
258,29,70,41,54,47,57,16,71,2,3,56,48,50,25,42,19,63,15,59,14,x2,tails
259,8,65,10,50,41,24,11,5,43,31,77,46,20,13,7,35,15,72,3,57,reg,heads
260,46,14,37,22,64,48,8,55,17,36,19,60,26,68,44,35,23,62,31,18,reg,heads
261,13,60,63,11,22,54,24,53,52,7,5,20,40,57,78,71,46,74,23,3,x2,evens
262,45,8,53,3,60,46,16,1,15,49,43,50,14,67,42,64,72,37,25,71,x2,tails
263,18,30,7,58,13,57,16,15,65,32,75,48,72,71,70,23,28,66,43,45,reg,tails
264,44,67,13,63,11,71,65,21,14,50,78,66,18,27,3,39,30,76,42,38,x2,evens
265,45,42,25,41,66,61,60,16,8,78,71,21,22,67,15,74,76,2,24,62,x3,tails
266,71,34,38,63,8,46,51,19,1,36,4,11,32,3,52,59,69,7,29,6,x3,heads
267,40,74,72,7,69,38,49,19,9,57,71,61,63,75,50,13,30,66,31,16,reg,tails
268,25,17,52,16,61,80,8,45,20,70,27,62,31,69,74,72,68,64,36,6,reg,tails
269,40,2,20,25,49,74,60,69,72,58,13,79,62,65,46,63,42,24,66,31,x2,tails
270,17,8,14,23,5,73,69,40,77,58,39,46,21,68,34,30,52,37,18,12,reg,heads
271,61,44,63,17,43,54,19,69,78,9,71,53,42,41,34,56,11,31,36,75,reg,tails
272,19,50,35,54,26,29,37,44,63,23,36,48,67,40,53,8,13,41,22,10,reg,heads
273,6,76,48,19,14,56,4,32,69,13,26,27,74,5,41,3,42,45,57,21,reg,heads
274,25,26,48,15,79,9,58,13,10,66,8,17,33,64,30,6,65,38,31,2,reg,heads
275,49,9,67,28,17,63,68,38,54,5,57,70,39,30,53,26,48,80,60,73,reg,tails
276,44,21,9,78,31,66,43,28,58,19,36,32,35,8,80,72,60,45,26,47,x4,evens
277,61,62,29,17,54,50,12,64,67,26,52,80,76,24,22,31,75,18,37,39,x2,evens
278,1,5,35,33,70,6,7,13,23,41,61,55,36,63,45,26,52,51,76,67,x2,evens
279,38,29,31,5,57,15,34,20,26,65,19,62,17,51,6,52,68,46,40,32,reg,heads
280,13,34,4,22,74,80,78,63,66,64,77,16,46,36,50,33,56,12,57,6,reg,tails
281,70,5,12,34,77,51,11,33,49,80,22,79,25,27,16,64,28,73,62,46,x2,evens
282,47,32,5,49,31,72,10,38,37,63,44,77,41,2,57,74,52,64,33,1,x3,tails
283,8,14,59,2,46,55,49,1,40,35,28,67,71,17,66,64,54,58,56,41,reg,tails
284,70,33,39,48,34,9,7,54,27,73,59,63,67,41,42,61,1,13,68,75,reg,tails
285,18,56,31,26,8,72,10,14,49,80,74,36,35,58,67,59,48,42,27,64,reg,tails
286,51,77,12,23,62,4,6,57,63,75,76,17,30,74,21,46,11,58,35,26,x3,evens
287,76,68,61,77,46,63,3,9,55,59,38,78,36,70,50,37,2,51,45,26,x3,tails
288,43,15,34,2,17,55,51,65,19,10,32,5,29,49,52,45,76,1,66,35,x2,heads
289,66,78,23,79,26,10,18,15,74,57,67,28,75,31,30,21,45,27,65,76,reg,evens
290,24,1,78,47,66,30,9,21,27,19,80,46,15,60,25,7,59,10,16,61,x2,heads
291,19,46,60,3,33,11,29,78,61,7,25,75,16,50,38,73,2,21,67,74,reg,heads
292,72,67,77,71,37,2,53,32,20,34,48,12,75,62,55,8,10,52,45,60,reg,tails
293,69,75,13,80,34,15,48,24,54,70,44,21,64,51,59,28,77,6,36,74,reg,tails
294,78,50,1,20,34,15,54,12,8,3,67,70,66,33,73,23,31,29,32,16,reg,heads
295,58,24,45,13,22,75,30,44,36,5,37,62,76,50,14,46,70,66,26,32,reg,evens
296,9,72,59,21,29,43,5,76,15,2,48,6,54,1,40,34,68,51,50,13,x2,heads
297,57,74,18,11,29,34,24,27,10,13,49,31,52,78,51,25,63,33,41,56,x2,heads
298,13,42,36,78,15,10,2,44,51,32,12,57,30,62,79,49,43,33,70,34,reg,evens
299,31,77,30,48,14,46,38,59,11,73,27,22,19,35,69,62,57,6,64,12,reg,heads
300,28,72,16,75,79,29,2,61,22,36,67,24,63,57,45,39,54,37,80,4,reg,evens
301,70,45,63,13,26,43,67,62,37,19,4,6,20,59,21,48,22,52,41,30,x3,evens
302,18,38,1,79,71,19,23,16,8,20,33,62,58,22,53,50,24,55,37,70,x3,heads
303,22,32,4,15,73,30,6,17,68,24,46,34,78,23,77,48,7,80,69,3,x2,heads
304,44,51,41,21,33,34,43,77,52,53,37,61,29,79,38,58,56,80,4,7,reg,tails
305,18,52,31,60,71,10,79,42,1,7,76,65,63,24,2,41,58,70,57,68,reg,tails
306,18,75,57,40,22,13,77,43,80,36,21,53,12,55,8,26,20,42,67,69,reg,evens
307,61,77,45,67,28,43,41,53,64,8,33,49,58,30,42,46,40,72,2,10,reg,tails
308,8,50,34,70,43,45,48,33,30,38,1,78,6,10,71,14,53,20,16,49,reg,heads
309,45,16,54,70,62,26,50,11,69,7,55,5,6,18,46,39,22,35,60,31,reg,heads
310,40,74,63,25,10,4,72,78,61,46,75,21,64,59,48,42,52,51,1,57,reg,tails
311,63,36,62,80,18,24,6,50,46,61,77,1,8,44,40,57,52,60,66,69,x3,tails
312,12,61,4,1,34,72,67,14,56,59,22,52,42,21,13,2,68,36,39,7,reg,heads
313,71,4,19,5,40,49,9,34,45,79,42,75,57,55,70,10,7,58,26,32,x3,evens
314,64,5,63,52,16,35,70,27,37,49,18,34,74,31,9,23,22,73,79,28,x3,heads
315,49,59,64,78,52,44,56,60,71,79,28,48,1,68,39,3,2,14,20,8,x2,tails
316,12,25,27,63,36,66,64,23,9,55,42,51,2,49,4,61,56,71,5,73,x3,tails
317,6,39,78,70,53,46,5,14,48,63,80,37,59,10,64,17,30,65,71,26,x3,tails
318,18,79,45,2,19,32,66,35,36,67,16,46,77,41,17,50,31,29,74,43,reg,evens
319,72,33,18,1,36,70,30,79,9,5,25,15,28,46,75,32,3,44,73,77,x2,heads
320,17,19,51,57,61,21,64,23,13,14,15,73,9,16,52,11,27,77,48,46,x2,heads
321,25,68,34,18,61,9,48,10,50,20,4,79,36,46,23,59,12,1,44,2,reg,heads
322,70,51,10,44,33,11,63,50,73,20,47,69,29,77,25,15,1,60,65,54,x3,tails
323,61,64,4,29,47,18,19,80,32,55,70,39,60,31,7,53,73,33,48,36,x3,evens
324,54,10,13,18,44,42,33,15,14,49,31,30,21,60,72,7,58,19,80,22,reg,heads
325,34,26,55,67,45,65,27,9,44,4,64,23,41,57,59,30,15,38,60,20,reg,evens
326,79,65,72,15,24,11,29,12,49,21,63,45,32,77,2,6,7,1,8,48,reg,heads
327,80,54,71,76,53,67,8,64,33,39,27,3,17,72,55,60,50,41,4,78,x2,tails
328,51,30,48,52,65,74,6,4,5,2,49,63,10,72,67,55,60,32,42,58,x2,tails
329,5,70,17,80,46,29,77,71,28,35,6,25,54,18,41,26,2,62,42,75,x3,evens
330,2,60,29,56,37,43,53,14,10,54,64,32,73,47,75,11,23,21,40,7,reg,heads
331,59,14,68,70,15,39,34,10,9,29,41,52,62,60,38,63,31,12,24,77,reg,heads
332,80,46,41,43,22,8,25,20,53,60,18,13,34,44,49,68,61,77,28,21,x3,tails
333,24,48,57,80,76,10,55,27,1,62,15,2,33,16,79,25,46,11,52,26,x3,heads
334,3,63,34,45,17,38,32,36,55,2,16,56,68,73,58,51,31,33,41,9,x3,heads
335,32,64,40,41,48,72,62,23,46,3,50,55,66,20,26,74,60,79,39,27,reg,tails
336,27,16,42,76,68,9,67,36,7,48,58,12,24,17,72,53,35,56,43,28,x3,evens
337,79,23,4,51,47,70,35,72,69,33,71,19,61,41,60,43,27,39,55,40,reg,tails
338,52,61,19,76,59,68,11,41,71,53,27,3,33,49,8,1,40,55,46,36,x3,tails
339,46,76,31,53,35,64,38,80,23,39,29,72,63,15,56,17,37,51,41,43,reg,tails
340,52,41,71,33,58,22,53,70,20,5,12,50,57,14,7,25,62,75,28,39,x3,evens
341,30,31,73,29,50,78,34,14,67,26,27,80,36,32,25,12,18,40,65,2,x4,heads
342,10,75,76,32,35,62,29,47,67,69,7,50,73,36,1,59,71,28,19,56,reg,tails
343,75,16,53,40,33,34,21,15,38,44,9,51,72,35,17,47,77,20,52,50,x3,heads
344,25,41,57,33,10,45,1,78,3,69,24,62,32,4,79,40,5,36,46,43,reg,heads
345,72,77,46,53,25,63,11,18,6,27,30,47,4,61,16,45,78,31,64,13,x3,evens
346,79,43,24,40,6,28,33,23,53,45,63,69,78,77,68,37,50,4,29,44,reg,tails
347,23,45,30,77,11,49,65,53,52,46,73,62,33,5,37,43,19,67,13,60,x3,tails
348,49,60,57,7,41,5,77,1,48,22,38,73,59,51,17,8,42,10,13,29,x3,evens
349,75,17,55,23,21,27,1,62,25,33,53,77,74,34,20,22,18,70,59,67,x3,heads
350,61,25,22,41,51,13,4,23,52,59,64,80,27,12,37,76,32,2,9,20,reg,heads
351,42,58,7,29,72,70,21,6,59,77,12,46,39,57,68,19,2,43,15,67,x3,tails
352,73,59,38,26,31,42,14,27,40,54,45,78,76,70,72,18,22,15,50,28,x2,evens
353,21,36,26,34,73,55,56,62,80,31,43,72,39,27,22,65,60,71,59,64,x3,tails
354,70,80,65,15,72,47,62,36,23,77,75,33,29,41,42,54,73,35,78,8,x3,tails
355,69,1,33,10,65,8,58,71,31,50,13,42,37,67,52,43,14,63,7,45,x3,tails
356,45,44,4,21,65,73,71,47,17,62,23,41,19,74,12,1,56,53,70,38,x2,tails
357,30,35,42,3,55,32,41,51,39,23,52,67,19,7,11,70,5,68,49,79,reg,evens
358,34,64,40,47,24,57,30,19,26,73,56,67,14,28,39,62,68,25,48,42,x3,evens
359,9,7,43,64,36,69,1,67,70,23,18,14,62,41,34,19,56,59,15,6,reg,heads
360,57,50,22,55,76,70,80,43,49,47,16,67,30,7,5,21,28,18,26,77,x2,tails
361,57,21,75,1,66,60,37,47,59,62,7,20,36,68,8,41,32,15,16,10,x2,heads
362,63,24,64,32,14,40,26,58,78,34,8,19,41,51,36,3,77,47,10,18,reg,heads
363,64,61,60,8,62,9,52,45,67,1,15,48,51,29,72,4,50,78,26,75,reg,tails
364,48,50,18,38,20,2,47,54,1,57,43,74,62,67,58,73,72,45,31,17,reg,tails
365,40,7,9,48,1,29,76,38,25,34,45,59,43,15,27,77,75,19,72,10,x2,heads
366,5,70,55,77,79,35,49,51,34,53,38,65,58,31,40,48,72,66,75,36,reg,tails
367,17,61,57,47,56,24,1,5,26,75,39,70,16,6,48,62,41,23,46,29,x2,evens
368,74,39,67,15,28,11,36,42,7,57,71,13,25,34,29,73,70,5,35,3,x3,heads
369,55,64,70,42,58,48,8,61,80,15,72,75,66,51,69,57,22,33,47,2,x3,tails
370,50,11,40,5,43,60,15,31,2,45,13,71,66,8,1,22,3,12,37,67,x3,heads
371,30,67,29,63,3,61,80,55,76,12,7,11,20,75,5,60,32,21,78,27,reg,heads
372,66,40,44,31,61,42,9,80,77,26,22,28,53,58,38,7,57,48,12,43,reg,tails
373,73,28,64,75,18,78,14,17,6,10,30,51,37,19,60,38,65,5,41,25,x5,heads
374,67,57,50,77,63,17,18,34,25,19,30,16,65,56,78,48,52,32,41,70,x5,tails
375,24,58,50,78,71,31,77,56,48,41,8,16,65,52,39,55,63,13,6,79,x2,tails
376,16,35,7,41,36,47,45,11,68,6,65,48,55,2,62,23,69,27,61,18,x2,evens
377,63,61,39,9,68,76,18,78,80,10,16,50,40,33,56,30,74,69,44,19,x2,tails
378,49,6,51,10,66,56,54,44,67,63,79,69,39,57,17,58,40,45,29,3,reg,tails
379,7,39,73,74,20,72,61,14,22,33,75,76,42,79,66,31,54,37,16,78,reg,tails
380,3,69,31,2,17,37,36,61,41,77,64,4,40,38,70,45,47,51,57,16,x2,evens
381,51,70,50,28,2,63,13,72,30,54,27,7,46,17,5,16,40,57,4,38,x2,heads
382,47,66,79,7,35,75,10,78,21,8,49,46,22,36,74,71,32,65,56,27,x3,tails
383,14,64,67,41,25,34,75,27,55,32,7,38,79,40,30,60,51,62,20,43,x2,evens
384,76,47,21,69,29,36,34,27,61,6,41,60,52,67,43,80,58,78,10,22,x2,tails
385,75,40,32,4,8,66,5,76,14,78,31,56,38,41,39,68,42,3,61,64,x3,evens
386,68,66,72,51,28,42,48,6,26,1,71,21,29,3,59,9,76,32,46,23,x2,evens
387,50,73,71,3,11,43,25,58,8,80,28,77,54,40,24,45,66,41,10,27,reg,tails
388,35,22,39,11,37,6,68,56,17,43,12,28,7,40,57,53,5,30,72,66,x3,heads
389,3,41,48,65,11,34,79,53,68,59,55,16,30,23,2,62,35,21,43,28,x2,evens
390,19,58,77,53,6,11,45,57,5,73,7,51,1,10,2,46,21,67,72,37,reg,evens
391,54,34,7,63,80,72,69,11,9,57,68,40,8,18,45,46,71,49,26,67,x3,tails
392,8,60,21,76,22,26,63,30,44,16,11,46,61,20,72,33,9,74,7,65,x2,heads
393,46,69,55,56,60,8,72,13,37,20,59,74,61,41,2,76,80,4,10,57,x3,tails
394,50,22,37,60,18,61,57,70,8,69,3,10,14,11,54,75,52,15,72,27,reg,evens
395,44,9,30,41,70,24,76,35,67,28,47,8,72,57,60,40,13,54,12,64,x4,tails
396,55,54,29,43,1,51,52,47,59,16,46,58,76,14,44,41,68,4,37,79,reg,tails
397,58,22,32,62,31,8,6,20,80,46,10,3,64,65,7,78,41,73,12,26,x3,heads
398,26,56,24,42,76,50,31,13,32,74,22,33,49,71,4,62,21,55,40,7,reg,heads
399,24,50,5,6,78,4,56,74,72,36,13,57,38,39,3,46,67,22,26,54,x3,heads
