Draw Number,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Ball 7,Ball 8,Ball 9,Ball 10,Ball 11,Ball 12,Ball 13,Ball 14,Ball 15,Ball 16,Ball 17,Ball 18,Ball 19,Ball 20,Bonus,Heads or Tails
200,73,50,52,49,51,58,74,35,6,76,8,75,56,60,55,77,2,14,5,39,x5,tails
201,79,69,74,43,58,16,57,1,18,20,10,37,52,41,71,56,63,66,45,28,x3,tails
202,59,73,26,76,7,70,5,69,17,38,35,14,43,50,4,6,77,29,68,71,reg,evens
203,66,53,10,58,57,41,1,2,59,32,28,34,40,56,14,62,35,6,44,7,x5,heads
204,27,50,39,69,32,31,57,54,78,61,2,51,45,23,67,6,80,70,8,74,x2,tails
205,9,1,77,7,75,79,68,62,71,66,42,38,3,45,73,41,36,12,21,44,x3,tails
206,41,77,55,20,40,47,79,8,36,53,18,80,34,14,17,65,57,78,62,51,x5,tails
207,29,6,50,1,73,72,10,66,59,4,56,7,77,71,79,31,14,3,2,24,x3,heads
208,37,46,47,18,76,38,58,49,4,27,11,57,62,1,54,78,29,10,43,30,x2,evens
209,37,8,68,6,47,31,80,45,54,46,56,50,27,55,12,43,4,63,1,42,x2,tails
210,56,18,2,75,54,11,16,66,40,26,7,45,19,55,52,79,15,48,59,30,reg,evens
211,4,25,3,67,39,31,75,54,29,41,69,77,79,68,21,2,56,12,18,45,reg,evens
212,68,76,48,74,51,17,27,4,80,65,77,45,49,19,39,14,54,79,40,63,x3,tails
213,61,38,69,49,57,79,59,51,65,47,15,2,21,1,19,17,35,5,78,11,x3,evens
214,11,12,8,64,9,48,60,24,78,32,56,14,19,36,62,30,33,31,65,61,x3,heads
215,22,6,76,51,3,61,35,33,62,21,11,28,60,38,32,49,5,68,12,27,x3,heads
216,78,72,22,71,15,70,79,43,64,14,35,32,21,29,67,58,66,39,51,48,x3,tails
217,19,45,6,53,26,42,31,67,57,52,75,28,51,1,33,3,20,15,54,39,reg,heads
218,35,60,7,74,37,18,8,44,15,49,45,65,57,16,2,3,48,75,64,11,reg,evens
219,21,67,1,43,71,52,29,41,59,78,14,30,45,22,31,2,47,38,62,23,x2,evens
220,14,7,27,29,20,70,53,80,1,61,79,43,73,16,55,72,78,8,48,34,x2,tails
221,68,76,62,7,72,55,75,57,35,26,24,46,52,67,31,17,63,41,38,50,reg,tails
222,80,20,15,54,33,9,7,53,12,66,70,2,72,60,45,78,51,11,64,68,x3,tails
223,19,6,51,14,64,4,50,58,47,61,28,40,26,38,78,17,5,22,37,16,reg,heads
224,46,57,53,40,70,42,29,20,32,7,79,59,11,45,52,76,36,19,49,43,x2,tails
225,22,55,63,58,35,72,52,57,69,68,43,36,33,66,80,62,54,19,39,28,reg,tails
